BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Hartford,117114,31248,26.7
Fairfield,91896,24520,26.7
New Haven,81783,21821,26.7
New London,34434,9187,26.7
Litchfield,21572,5755,26.7
Middlesex,20590,5493,26.7
Windham,12899,3441,26.7
Tolland,10267,2739,26.7



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,390555,104204,26.7
