BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Minnehaha,21801,5635,25.8
Pennington,13934,3601,25.8
Lincoln,5481,1416,25.8
Brown,4323,1117,25.8
Brookings,3682,951,25.8
Codington,3527,911,25.8
Oglala Lakota,3509,907,25.8
Meade,3484,900,25.8
Lawrence,3218,831,25.8
Yankton,2761,713,25.8
Todd,2492,644,25.8
Davison,2371,612,25.8
Beadle,2211,571,25.8
Hughes,2082,538,25.8
Clay,1884,487,25.8
Roberts,1615,417,25.8
Union,1579,408,25.8
Lake,1456,376,25.8
Charles Mix,1361,351,25.8
Butte,1272,328,25.8
Dewey,1164,300,25.8
Custer,1052,271,25.8
Fall River,915,236,25.8
Turner,916,236,25.8
Corson,864,223,25.8
Bon Homme,862,222,25.8
Moody,844,218,25.8
Grant,754,194,25.7
Hutchinson,741,191,25.8
Tripp,733,189,25.8
Spink,721,186,25.8
Day,662,171,25.8
Walworth,650,168,25.8
Brule,652,168,25.8
Jackson,644,166,25.8
Ziebach,635,164,25.8
Bennett,609,157,25.8
McCook,586,151,25.8
Lyman,587,151,25.7
Hamlin,565,146,25.8
Marshall,528,136,25.8
Gregory,522,134,25.7
Kingsbury,514,132,25.7
Buffalo,465,120,25.8
Deuel,442,114,25.8
Mellette,413,106,25.7
Edmunds,398,102,25.6
Clark,391,101,25.8
Hanson,344,88,25.6
Hand,340,87,25.6
Perkins,328,84,25.6
Stanley,309,79,25.6
Douglas,296,76,25.7
McPherson,260,67,25.8
Sanborn,261,67,25.7
Aurora,259,66,25.5
Miner,241,62,25.7
Faulk,240,62,25.8
Haakon,225,58,25.8
Potter,224,57,25.4
Jerauld,196,50,25.5
Harding,160,41,25.6
Hyde,155,40,25.8
Campbell,146,37,25.3
Sully,136,35,25.7
Jones,94,24,25.5



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 16+ and smoker,107086,27647,25.8
