BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Cumberland,32163,9215,28.7
York,26579,7615,28.7
Penobscot,13266,3800,28.6
Androscoggin,11951,3424,28.7
Kennebec,11610,3326,28.6
Aroostook,8063,2310,28.6
Somerset,5775,1654,28.6
Oxford,5551,1590,28.6
Knox,4309,1234,28.6
Hancock,4188,1199,28.6
Waldo,3432,983,28.6
Franklin,3384,969,28.6
Lincoln,2968,850,28.6
Washington,2942,842,28.6
Sagadahoc,2343,671,28.6
Piscataquis,1856,531,28.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,140380,40213,28.6
