BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Minnehaha,14504,4977,34.3
Pennington,11653,3999,34.3
Lincoln,4278,1468,34.3
Brown,3482,1195,34.3
Lawrence,3189,1094,34.3
Meade,2584,886,34.3
Codington,2487,853,34.3
Brookings,2296,787,34.3
Yankton,2249,771,34.3
Lake,1800,617,34.3
Davison,1795,616,34.3
Hughes,1705,585,34.3
Custer,1619,555,34.3
Beadle,1610,552,34.3
Union,1571,539,34.3
Butte,1185,406,34.3
Roberts,1146,393,34.3
Fall River,1093,375,34.3
Clay,960,329,34.3
Turner,879,301,34.2
Charles Mix,848,291,34.3
Grant,815,279,34.2
Hutchinson,768,263,34.2
Day,745,255,34.2
Bon Homme,702,240,34.2
Walworth,648,222,34.3
Spink,647,222,34.3
Moody,644,221,34.3
Oglala Lakota,616,211,34.3
Tripp,592,203,34.3
Kingsbury,588,201,34.2
Marshall,580,199,34.3
McCook,533,182,34.1
Hamlin,515,176,34.2
Gregory,509,174,34.2
Deuel,503,172,34.2
Todd,493,169,34.3
Brule,479,164,34.2
Clark,431,147,34.1
Stanley,404,138,34.2
Edmunds,387,132,34.1
Hanson,373,128,34.3
Hand,351,120,34.2
Dewey,344,118,34.3
Douglas,341,117,34.3
Potter,327,112,34.3
Lyman,329,112,34.0
Perkins,306,105,34.3
Jerauld,305,104,34.1
Faulk,293,100,34.1
Sanborn,290,99,34.1
Jackson,280,96,34.3
Corson,279,95,34.1
McPherson,271,93,34.3
Aurora,270,92,34.1
Haakon,193,66,34.2
Campbell,193,66,34.2
Mellette,191,65,34.0
Miner,188,64,34.0
Bennett,189,64,33.9
Sully,177,60,33.9
Harding,164,56,34.1
Ziebach,156,53,34.0
Hyde,137,47,34.3
Buffalo,105,36,34.3
Jones,73,25,34.2



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 65-74,80657,27652,34.3
