BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Fairfield,8114,8114,100.0
Hartford,7844,7844,100.0
New Haven,7761,7761,100.0
New London,2199,2199,100.0
Tolland,1474,1474,100.0
Litchfield,1318,1318,100.0
Middlesex,1300,1300,100.0
Windham,1017,1017,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 15-49 and prgnant,31027,31027,100.0
