BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Middlesex,189968,54437,28.7
Essex,88075,25238,28.7
Worcester,87595,25101,28.7
Norfolk,69069,19792,28.7
Bristol,60361,17297,28.7
Suffolk,59067,16926,28.7
Hampden,52749,15115,28.7
Plymouth,46483,13320,28.7
Barnstable,17431,4995,28.7
Hampshire,13126,3761,28.7
Berkshire,12147,3480,28.6
Franklin,9484,2717,28.6
Dukes,1234,353,28.6
Nantucket,822,235,28.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,707611,202767,28.7
