BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Middlesex,133369,37440,28.1
Suffolk,94741,26596,28.1
Worcester,93908,26362,28.1
Essex,76667,21522,28.1
Norfolk,68810,19316,28.1
Bristol,68642,19269,28.1
Plymouth,62477,17539,28.1
Hampden,56640,15900,28.1
Barnstable,22311,6263,28.1
Hampshire,18283,5132,28.1
Berkshire,15075,4231,28.1
Franklin,8370,2349,28.1
Dukes,1751,491,28.0
Nantucket,1271,356,28.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 16+ and smoker,722315,202766,28.1
