BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Chittenden,33712,6416,19.0
Washington,12691,2415,19.0
Rutland,8526,1622,19.0
Windsor,7371,1403,19.0
Windham,6305,1200,19.0
Franklin,6077,1156,19.0
Bennington,4210,801,19.0
Lamoille,3965,754,19.0
Addison,3698,703,19.0
Caledonia,3588,682,19.0
Orleans,2492,474,19.0
Orange,2111,401,19.0
Grand Isle,466,88,18.9
Essex,414,78,18.8



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,95626,18193,19.0
