BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Chittenden,1611,1611,100.0
Washington,447,447,100.0
Rutland,431,431,100.0
Franklin,397,397,100.0
Windsor,388,388,100.0
Addison,309,309,100.0
Windham,307,307,100.0
Bennington,259,259,100.0
Caledonia,220,220,100.0
Lamoille,209,209,100.0
Orange,207,207,100.0
Orleans,192,192,100.0
Grand Isle,49,49,100.0
Essex,38,38,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 15-49 and prgnant,5064,5064,100.0
