BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Hartford,183761,36363,19.8
Fairfield,135158,26745,19.8
New Haven,112085,22179,19.8
New London,40074,7929,19.8
Middlesex,20887,4133,19.8
Litchfield,16583,3281,19.8
Tolland,9404,1860,19.8
Windham,8672,1716,19.8



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,526624,104206,19.8
