BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Hillsborough,67604,12394,18.3
Rockingham,54073,9914,18.3
Merrimack,29149,5344,18.3
Strafford,16174,2965,18.3
Grafton,14477,2654,18.3
Cheshire,9386,1720,18.3
Belknap,9199,1686,18.3
Carroll,8052,1476,18.3
Coos,4309,790,18.3
Sullivan,3830,702,18.3



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,216253,39645,18.3
