BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Chittenden,20418,4787,23.4
Washington,7435,1743,23.4
Rutland,6840,1603,23.4
Windham,6406,1501,23.4
Windsor,5891,1381,23.4
Bennington,5801,1360,23.4
Franklin,5726,1342,23.4
Addison,5371,1259,23.4
Orleans,3694,866,23.4
Caledonia,3632,851,23.4
Orange,2875,674,23.4
Lamoille,2654,622,23.4
Essex,517,121,23.4
Grand Isle,373,87,23.3



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,77633,18197,23.4
